,Year,Month,Event Date and Time,Restoration Date and Time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected
25,2024,1,01/18/2024 2:30 PM,01/18/2024 2:35 PM,"0 Hours, 5 Minutes",American Electric Power (Regulated Generation),RF,Indiana: Spencer County;,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.-- Suspicious activity",0,0
26,2024,1,01/18/2024 6:06 PM,01/19/2024 9:45 PM,"27 Hours, 39 Minutes",Portland General Electric Co,WECC,"Oregon: Clackamas County, Multnomah County, Polk County, Washington County, Yamhill County;","Loss of electric service to more than 50,000 customers for 1 hour or more-- Weather or natural disaster",3744,116998
27,2024,1,01/19/2024 7:01 AM,01/19/2024 7:16 AM,"0 Hours, 15 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more-- Fuel supply emergency - Generator loss or failure,0,0
28,2024,1,01/22/2024 4:57 AM,01/22/2024 7:54 AM,"2 Hours, 57 Minutes",LCRA TSC,RE,Texas: Bastrop County;,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.-- Suspicious activity",0,0
29,2024,1,01/23/2024 6:22 PM,01/23/2024 7:15 PM,"0 Hours, 53 Minutes","Constellation Energy Generation, LLC",RF,Maryland: Calvert County;,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.-- Suspicious activity",0,0
30,2024,1,01/25/2024 2:14 PM,01/25/2024 2:42 PM,"0 Hours, 28 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more. Firm load shedding of 100 Megawatts or more implemented under emergency operational policy-- Generator loss or failure - Transmission equipment failure,154,156859
31,2024,1,01/26/2024 4:00 AM,01/26/2024 4:30 AM,"0 Hours, 30 Minutes",Apex Generating Station,WECC,Nevada: Clark County;,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.-- Vandalism - Theft",0,0
32,2024,1,01/29/2024 8:27 AM,01/29/2024 8:37 AM,"0 Hours, 10 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more. Firm load shedding of 100 Megawatts or more implemented under emergency operational policy-- Generator loss or failure,20,58680
33,2024,1,01/31/2024 3:57 AM,01/31/2024 4:02 AM,"0 Hours, 5 Minutes",LUMA Energy,,Puerto Rico:,System-wide voltage reductions of 3 percent or more-Alert,24,Unknown
34,2024,2,02/02/2024 6:13 AM,02/02/2024 6:34 AM,"0 Hours, 21 Minutes",LUMA Energy,,Puerto Rico,System-wide voltage reductions of 3 percent or more-- Other,0,0
35,2024,2,02/02/2024 12:38 PM,02/02/2024 1:25 PM,"0 Hours, 47 Minutes",ISO New England,NPCC,"Connecticut, Massachusetts, Maine, Rhode Island, Vermont, New Hampshire",Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.-- Unknown,0,0
